,beta0,beta1,beta2,beta3,beta4,beta5,beta6
28,-0.6377258236294665,0.2891975909337514,0.46381717382638143,0.6797762695232183,2.063783050852372,1.5345827358234039,1.7125814987413328
29,-0.9918906953342912,0.2949079162790831,0.4810918305358918,0.669697146698244,2.0843904292835624,1.5501596219137674,1.7320520411924143
30,-0.8314748182684752,0.2917053989493912,0.47850061932620136,0.6787315380675167,2.0656146054429936,1.5398321835955215,1.7230592569504068
31,-0.6778825274599853,0.2862563538714058,0.47917971811452453,0.6680441294520936,2.0783738128585063,1.5217352503493453,1.7318634143499416
32,-0.3522488836501907,0.29077217263646027,0.45990615818253744,0.6648568161085997,2.0589700493344076,1.5031342937158034,1.7294955369280558
33,-0.6933812951400569,0.28518731849947354,0.4735253995214741,0.6712735103056495,2.0738604543136585,1.5274644235188228,1.733495044968386
34,-0.9505119277980043,0.28831148339701507,0.4815665893534167,0.682043002212529,2.0877434954057064,1.5260255406504202,1.7425804520162345
35,-0.5847177965281389,0.27915193129281946,0.4778867885444553,0.6620105933277074,2.0955203071898185,1.5106248621662401,1.712143896816528
36,-0.6642176665670831,0.2843800722174432,0.47407708424012895,0.6727553806572466,2.0741014885377274,1.5278151457049098,1.7276826158385354
37,-0.6626727374971324,0.28463758098863146,0.47333916670429765,0.6705808142208749,2.0717155752512153,1.5263445283136536,1.7336175920295105
38,-0.7102385700697482,0.2877210557170926,0.47420646562960833,0.6697950477748797,2.080873527143586,1.5229223163390548,1.7281172928232884
39,-0.7280961211472459,0.28483921138271384,0.47455647651505295,0.6769968976036598,2.0888809930702945,1.519846985847121,1.7271731094416403
40,-0.8916361108063029,0.28144539509062394,0.46693873670787145,0.6666914958324153,2.0978226872599617,1.5496649299223053,1.74687897284036
41,-0.6774811720176217,0.28315838110263325,0.4739091030475242,0.6720016276124579,2.069768907282776,1.5301782628541156,1.7318595834082018
42,-0.7449399556292633,0.2913329036957393,0.4709316586556245,0.6804888325543192,2.0738504514857423,1.5237838577421048,1.73017968118657
43,-0.6743430045077616,0.29713228236568767,0.4539345387723799,0.6571150571806399,2.088375805116364,1.4863211394916531,1.7634604985604625
